company_code,total_score,match_level,summary,policy_keywords,_status,policy_direction_score,policy_direction_reason,tech_content_score,tech_content_reason,industry_chain_score,industry_chain_reason,growth_prospect_score,growth_prospect_reason
688012,100,高度契合,公司主营业务属于国家政策重点支持的集成电路半导体设备核心领域，产业契合度极高。,"集成电路, 半导体设备与材料, 高端装备制造, 产业基础再造, 先进制造业集群",success,25,公司主营高端半导体设备及泛半导体设备，直接属于政策明确支持的新兴支柱产业“集成电路”中的半导体设备与材料方向。,25,刻蚀设备、薄膜设备、MOCVD设备属于集成电路制造关键核心设备，技术含量高，符合政策对关键核心技术攻关和高端装备制造的要求。,25,半导体设备位于集成电路产业链上游核心环节，是产业基础再造和产业链自主可控的关键支撑。,25,集成电路被列为国家重大科技项目方向，半导体设备与材料受到优先支持，国产替代和先进制造业集群培育将带来长期政策红利。
002594,99,高度契合,公司主营业务高度契合国家产业政策，在新能源汽车、新能源和高端装备等战略方向均处于核心地位，政策红利显著。,"新能源汽车, 动力电池, 光伏发电, 储能, 先进轨道交通装备, 高端装备制造",success,25,主营业务涵盖新能源汽车整车及关键零部件、动力电池、光伏发电、储能及先进轨道交通装备，均属于“十四五”规划明确支持的战略性新兴产业重点领域。,24,公司掌握动力电池、新能源汽车核心三电技术、光伏及轨道交通等关键技术，涉及政策强调的关键核心技术创新环节。,25,在新能源汽车产业链中处于整车制造与动力电池核心环节，同时布局光伏、储能及轨道交通装备，产业链地位核心。,25,政策持续大力支持新能源汽车、新能源及高端装备产业，公司业务有望持续获得政策红利，发展空间广阔。
002230,97,高度契合,公司主营业务高度契合国家人工智能、数字经济和数字化应用场景等产业政策方向，属于政策重点支持和鼓励的核心领域。,"人工智能, 数字经济, 数字产业化, 智慧医疗, 智能交通, 数字化应用场景, 关键软件",success,25,公司以语音技术及人工智能为核心，业务覆盖智慧教育、智慧医疗、智慧城市、智能汽车和企业AI解决方案，直接对应政策明确支持的人工智能、数字产业化和数字化应用场景等方向。,24,公司业务涉及语音识别、语音合成、自然语言处理等人工智能关键技术，属于政策强调的人工智能关键算法和基础软件范畴，技术含量高。,24,公司在人工智能产业链中处于平台、算法和应用解决方案的核心位置，开放平台和行业AI解决方案具有较强生态带动作用，但未涉及芯片等底层硬件核心环节。,24,政策持续强调加快数字化发展、建设数字中国，并在智慧医疗、智能交通、工业互联网等领域开展试点示范，公司业务具备较大的政策红利和市场拓展空间。
600276,97,高度契合,公司主营创新药尤其是抗肿瘤和免疫治疗药物，与国家生物医药产业政策高度契合。,"生物医药, 创新药, 免疫治疗, 生物经济",success,25,主营业务为创新药研发、生产和销售，核心产品包括抗肿瘤小分子靶向药和PD-1单抗，直接属于“十四五”规划明确支持生物医药、创新药和免疫治疗的重点方向。,24,公司业务涉及单克隆抗体、小分子靶向抗肿瘤药等创新药研发与产业化，属于政策强调的生物医药关键核心技术领域。,24,公司作为创新药研发生产企业，处于生物医药产业链核心环节，具备研发、生产、销售一体化能力，而非边缘配套角色。,24,国家提出做大做强生物经济，加快生物医药、免疫治疗等产业发展，抗肿瘤等领域临床需求大，公司未来政策红利空间广阔。
603986,96,高度契合,公司主营业务处于国家优先支持的集成电路芯片设计核心赛道，政策方向、技术含量、产业链地位和发展前景均高度契合国家产业政策。,"集成电路, 芯片设计, 核心电子元器件, 高端芯片, 传感器, 数字经济",success,25,公司主营存储器、微控制器、传感器和模拟芯片，直接属于“十四五”规划明确优先支持的集成电路产业，尤其是芯片设计方向，同时契合数字产业化中核心电子元器件、高端芯片和传感器等关键领域。,25,存储器、微控制器、传感器和模拟芯片均属于集成电路核心技术领域，涉及芯片设计、关键电子元器件和高端芯片研发，符合政策强调的关键核心技术攻关方向。,24,芯片设计是集成电路产业链的核心环节之一，公司处于政策重点培育的集成电路产业链关键位置，对上下游制造、封装测试和应用生态具有重要带动作用。,22,集成电路被列为国家重大科技项目方向和先进制造业集群重点培育范围，政策支持力度大，国产替代和数字经济需求为公司存储、MCU、传感器及模拟芯片业务提供广阔政策红利空间。
300014,95,高度契合,公司主营业务（动力电池、储能电池及消费电池）与国家“十四五”新能源、新能源汽车及新型储能政策方向高度一致，处于重点产业链核心环节，政策契合度极高。,"新能源汽车, 动力电池及关键零部件, 储能, 新型储能技术, 新能源, 战略性新兴产业, 产业基础再造",success,25,公司主营的动力电池（新能源车电池及电池系统）直接对应纲要列为战略性新兴产业重点领域的“新能源汽车”中的动力电池及关键零部件方向；储能电池亦对应纲要“新能源”中大力发展的储能以及未来产业“氢能与储能”中的新型储能技术，三项主营（消费电池、动力电池、储能电池）均落在政策明确支持或鼓励的方向内，方向匹配度高。,24,公司掌握软包三元、方形三元、大圆柱、方形磷酸铁锂、圆柱铁锂等多条主流电池技术路线，并具备电池系统集成能力，属于政策强调的关键核心零部件与“产业基础再造”中基础零部件及元器件、关键材料环节，技术密集度高；消费电池中的锂原电池、圆柱电池亦属高端电子元器件配套，但部分消费类产品技术门槛相对动力/储能端略低。,24,动力电池是新能源汽车产业链中价值量最高、技术壁垒最强的核心环节之一，公司作为电池本体及电池系统供应商处于产业链核心位置，同时向上衔接新材料（正负极、材料研发）向下支撑整车与储能电站，属于政策重点培育的先进制造业集群关键节点。,22,在“双碳”目标、新能源汽车推广、多能互补清洁能源基地与新型储能规模化建设的政策合力下，动力电池与储能电池需求具备长周期政策红利；纲要同时将储能列入未来产业前瞻布局，进一步打开成长空间，但需关注行业竞争加剧与政策补贴退坡带来的边际影响。
600406,95,高度契合,公司主营业务高度契合国家产业政策，尤其在先进电力装备、智慧能源、储能、工业互联网和智能制造等方向具备显著政策优势。,"高端装备制造, 先进电力装备, 先进轨道交通装备, 新能源, 储能, 工业互联网, 智能制造, 智慧能源, 数字经济, 人工智能",success,25,主营业务覆盖电网智能、能源低碳、储能、电动汽车充换电、轨道交通及工业自动化，直接对应政策明确支持的先进电力装备、先进轨道交通装备、新能源、储能、智能制造、工业互联网与数字经济等方向。,24,业务涉及电网自动化、综合能源管控、工业互联、人工智能及智能制造设备、储能与充换电系统等关键技术环节，技术含量高，契合政策强调的核心技术攻关与数字化智能化升级。,24,公司在电网智能、能源低碳、轨道交通控制及工业自动化领域处于核心设备与系统解决方案供应商位置，属于先进电力装备、智慧能源和高端装备产业链的关键环节。,22,在新型电力系统建设、能源绿色低碳转型、数字中国、智能制造和交通强国等政策支持下，公司相关业务具有较大的政策红利与持续发展空间。
601012,95,高度契合,公司主营业务深度契合“十四五”新能源、新材料及氢能与储能未来产业方向，处于光伏产业链核心位置，政策契合度高。,"光伏发电, 新能源, 储能, 氢能与储能, 新材料, 半导体材料, 绿色制造, 清洁能源基地",success,25,主营业务中的单晶硅棒、硅片、电池组件及光伏电站开发运营，直接属于“十四五”规划明确列为战略性新兴产业重点领域的太阳能光伏发电；绿氢装备、储能设备又对应纲要前瞻布局的氢能与新型储能未来产业方向，政策方向匹配度极高。,23,单晶硅材料、高效电池与组件技术属于新材料（半导体材料）与新能源关键技术环节，氢能制取装备与储能设备亦属纲要要求攻关的氢能制储运用全链条与新型储能技术，技术含量高；仅因公司不涉及集成电路级半导体制造等国家重大科技项目核心攻关而略作扣减。,24,公司处于光伏产业链上游硅材料到中游电池组件、下游电站运营的核心位置，并延伸至氢能装备与储能，属于政策重点培育的先进制造业集群与清洁能源基地建设中的关键链主型企业。,23,纲要提出大力提升风电、光伏发电规模并建设多能互补清洁能源基地，叠加氢能、储能未来产业孵化加速计划，公司业务享有长期且明确的政策红利空间；需关注行业周期性波动对政策红利兑现节奏的影响。
002049,95,高度契合,公司主营业务高度契合国家集成电路、高端芯片和核心电子元器件产业政策，属于重点支持方向且技术含量与产业链地位突出。,"集成电路, 芯片设计, 高端芯片, 核心电子元器件, 数字经济, 产业基础再造",success,25,公司主营特种集成电路、智能安全芯片和石英晶体频率器件，直接属于“十四五”规划明确优先支持的集成电路产业，同时契合数字经济中核心电子元器件、高端芯片等政策方向。,24,集成电路芯片设计属于政策强调的关键核心技术环节，特种集成电路和智能安全芯片技术门槛较高，石英晶体频率器件也属于核心电子元器件范畴。,23,公司处于集成电路产业链的芯片设计核心环节，特种集成电路和智能安全芯片在信息安全、数字经济和产业基础再造中具有重要配套与支撑地位。,23,集成电路被列为国家重大科技项目和先进制造业集群重点方向，叠加数字经济、核心电子元器件和产业基础再造政策支持，公司未来政策红利空间较大。
002371,95,高度契合,该公司以半导体装备为核心、兼顾新能源装备与电子元器件，深度契合集成电路、新能源与产业基础再造等国家战略方向，产业链地位核心，政策契合度极高。,"集成电路, 半导体设备与材料, 产业基础再造, 高端装备制造, 光伏发电, 新能源汽车, 核心电子元器件, 智能制造, 关键核心技术攻关",success,25,主营的半导体装备（集成电路设备）直接对应纲要中列为前沿领域国家重大科技项目方向的集成电路产业，同时光伏设备、锂离子电池设备契合新能源与新能源汽车重点领域，电子元器件契合产业基础再造与核心电子元器件方向，属于多重政策明确支持的新兴支柱产业。,24,业务集中于集成电路制造关键环节的工艺装备（刻蚀、薄膜沉积、清洗等），属于政策强调的半导体设备与材料'卡脖子'核心技术，并涉及真空技术、模块电源、微波组件等技术密集型环节，技术含量高，直接对应高端芯片、基础零部件及元器件等关键技术攻关方向。,24,处于集成电路产业链上游核心装备环节，是芯片制造的关键支撑与先进制造业集群培育的核心节点；同时为光伏、锂电等新能源产业链提供核心生产设备，在政策重点产业链中处于核心地位而非边缘配套。,22,集成电路、半导体设备与材料被列入国家重大科技项目和产业基础再造工程重点，政策支持力度大、国产化替代空间广；叠加新能源装备需求，未来持续享受政策红利，但设备领域技术壁垒高、国际竞争激烈，存在一定不确定性。
