company_code,as_of,total_score,prosperity_level,trend,summary,key_drivers,risk_factors,_status,demand_score,demand_reason,supply_competition_score,supply_competition_reason,policy_environment_score,policy_environment_reason,profit_growth_score,profit_growth_reason
002460,2021,92,高景气,上行,2021年赣锋锂业处于新能源与锂电材料高景气周期，锂盐供需紧张、价格上行，公司一体化优势突出，业务景气度预期高企且趋势向上。,"新能源汽车与储能需求高速增长带动锂盐需求爆发, 锂资源供给紧张推动碳酸锂、氢氧化锂价格大幅上涨, '双碳'政策强力支持新能源全产业链扩张","锂价过快上涨后可能引发下游接受度下降与周期波动, 能耗双控、限电限产对生产与扩产节奏造成扰动, 行业高景气吸引产能加速投放，中长期供给格局可能变化",success,24,2021年新能源汽车与储能进入高景气扩张期，动力电池排产持续提升，锂盐下游需求高速增长；锂资源供给弹性不足，碳酸锂、氢氧化锂价格大幅上行，公司产品销量与价格预期同步向好。,22,全球锂资源开发周期长、短期新增供给有限，行业供需格局偏紧；公司具备上游资源布局、锂盐深加工产能及一体化优势，议价能力较强，市场份额与产业链地位稳固。,23,'双碳'目标成为主线，新能源全产业链获得政策强力支持，新能源汽车、储能等领域进入高速扩张期；尽管能耗双控与限电限产对中游制造有扰动，但锂电上游资源品受益于政策方向与需求拉动。,23,锂盐价格进入上行周期，公司资源自给与加工产能共同受益，毛利率和利润增速预期显著改善；新能源长期成长空间明确，未来1-2年盈利高增长确定性较强，但需关注锂价周期波动。
002812,2021,91,高景气,上行,2021年恩捷股份处于锂电隔膜高景气赛道核心位置，需求、政策与盈利预期共振向上，景气度总体处于高位。,"新能源汽车与储能需求爆发带动锂电隔膜需求高增, 湿法隔膜龙头地位、客户认证壁垒与产能扩张带来的成长确定性, “双碳”政策与新能源产业链高景气扩张","隔膜行业产能大幅扩张导致中期价格竞争加剧, 新能源车销量或电池装机不及预期, 能耗双控、原材料波动及技术路线变化带来的经营扰动",success,24,新能源汽车渗透率快速提升、储能需求启动，动力电池出货高增带动锂电隔膜需求高速增长；公司湿法隔膜龙头地位下订单与产能利用率预期饱满。,22,湿法隔膜技术、设备与客户认证壁垒较高，2021年高端隔膜供给仍偏紧，公司份额与议价能力较强；但行业扩产规划较多，中期需关注竞争加剧与价格压力。,23,“双碳”目标与新能源车产业政策形成强支撑，锂电池产业链处于政策友好与资本开支扩张期；能耗双控对制造端有扰动，但不改新能源长期方向。,22,隔膜业务高景气下产能释放与规模效应有望推动利润快速增长，毛利率和净利率预期维持较好水平；无菌包装与BOPP薄膜贡献相对次要，整体成长确定性强。
002371,2021,90,高景气,上行,2021年公司处于半导体设备国产替代与新能源装备高景气共振期，业务景气度预期高且趋势向上。,"全球缺芯与国内晶圆厂扩产带来半导体设备需求高增, 国产替代加速与平台化设备龙头份额提升, 光伏、锂电等新能源产业链扩张拉动真空及新能源装备需求","全球半导体周期波动或资本开支不及预期, 外部出口管制与供应链关键零部件受限, 原材料涨价、研发投入高企及行业竞争加剧压制盈利弹性",success,24,全球缺芯与晶圆厂资本开支扩张共振，国内集成电路产线加快投产，叠加光伏、锂电等新能源设备需求高增，公司半导体装备及真空新能源装备订单需求旺盛。,21,半导体高端设备仍由国际龙头主导，但国产替代加速，公司平台化布局与本土服务优势有助于份额提升；新能源装备及电子元器件领域竞争较充分，但下游高景气可部分消化产能。,23,“十四五”规划、集成电路产业支持政策与“双碳”目标形成强力支撑，自主可控与新能源扩产导向明确，外部技术封锁反而强化国内设备采购意愿。,22,订单饱满与规模效应有望推动收入利润高速增长，产品结构升级改善盈利质量；但研发投入强度高、原材料涨价及供应链扰动可能对毛利率形成一定压制。
600438,2021,90,高景气,上行,2021年通威股份处于光伏硅料高景气周期与水产饲料稳健经营共振阶段，业务景气度高且趋势上行。,"双碳目标下光伏装机需求高增，高纯晶硅供需错配、价格大幅上涨, 公司作为硅料与电池片龙头，充分受益于新能源产业链高景气扩张, 水产饲料需求恢复，农业板块提供稳定现金流与盈利支撑","硅料价格高企可能抑制下游装机需求，并引发后续产能扩张与价格回落预期, 能耗双控与限电限产可能扰动硅料、电池片生产节奏, 饲料原材料成本上涨及生猪价格下行可能拖累畜禽饲料业务盈利",success,24,双碳目标下光伏装机需求高增，高纯晶硅供不应求、价格大幅上行；水产饲料受益于水产养殖恢复，需求稳健，但畜禽饲料受猪价下行和原料涨价扰动。,20,高纯晶硅扩产周期长、供给紧张，公司作为全球硅料龙头议价能力强；电池片环节竞争激烈、盈利承压，但公司出货份额领先，整体竞争力突出。,24,“双碳”战略强力支持光伏新能源全产业链扩张，行业政策环境高度友好；但能耗双控与限电限产对中游制造生产节奏形成阶段性扰动。,22,硅料价格暴涨带动光伏板块盈利弹性显著，饲料业务提供稳健基本盘；电池片环节受硅料成本上升挤压，但公司硅料与电池片一体化对冲部分压力，成长确定性较高。
603799,2021,89,高景气,上行,站在2021年时点，华友钴业处于新能源锂电材料与能源金属高景气赛道，需求、政策与盈利预期共振向上，一体化布局强化成长确定性。,"新能源汽车渗透率提升带动三元前驱体、正极材料及钴锂镍需求高增, 钴锂镍等能源金属价格上行，公司资源与一体化布局受益, 双碳政策与新能源产业支持形成长期景气支撑","磷酸铁锂路线对三元材料份额形成竞争挤压, 上游资源价格大幅波动及海外镍项目政策与地缘风险, 能耗双控限电与中游产能扩张导致阶段性供给扰动和竞争加剧",success,23,2021年新能源汽车渗透率快速提升，动力电池排产高增，三元前驱体、正极材料及钴锂镍等能源金属需求旺盛，产品价格整体上行，下游订单与开工率趋势强劲。,21,钴资源供给相对刚性，印尼镍项目推进增强一体化优势与资源保障；但三元前驱体和正极材料环节产能扩张较快、竞争加剧，且磷酸铁锂路线回潮对三元份额形成一定挤压。,23,双碳目标成为主线，新能源车与储能产业链获政策强支持；能耗双控和限电限产对中游制造形成阶段性扰动，但未改变锂电材料高景气方向。,22,钴锂镍等资源品价格上行叠加一体化产能放量，公司盈利弹性与成长空间较大，市场对未来1-2年利润高增预期较强；但金属价格波动和加工环节竞争可能影响盈利稳定性。
600760,2021,88,高景气,上行,2021年时点看，公司航空防务主业受益于“十四五”装备建设与航空装备升级，需求确定性和壁垒突出，属于高景气且趋势上行，但盈利弹性受军品定价机制约束。,"“十四五”国防装备建设加速，航空防务需求确定性高, 航空装备升级换代与国产替代趋势明确, 公司整机龙头地位和高准入壁垒带来份额稳定性, 国防预算增长与地缘安全压力支撑长期需求","军品定价机制和成本压力限制利润率提升, 重点型号交付与列装节奏可能不及预期, 原材料涨价和供应链扰动影响生产与成本, 军工体制改革、订单节奏和竞争格局变化的不确定性",success,23,“十四五”开局，国防和军队现代化、练兵备战、海空军航空装备升级换代及国产替代需求明确，航空防务装备需求预计保持较快增长；民用航空产品受疫后恢复但占比小，对整体拉动有限。,23,航空防务总装环节准入壁垒极高，公司作为主力战斗机整机厂商之一，市场地位稳固，供给格局高度集中，份额与议价确定性较强；但军品定价机制和内部配套可能限制盈利弹性。,24,国防预算稳定增长、装备建设向现代化倾斜，政策支持自主可控和航空强国；地缘政治与外部安全压力强化装备需求，能耗双控、缺芯等宏观扰动对军工核心总装影响相对有限。,18,收入规模有望随重点型号放量增长，规模效应和产品结构升级有助盈利改善，但军品定价偏成本加成、原材料涨价和交付节奏可能使利润率提升幅度温和，成长确定性高而利润率弹性有限。
688012,2021,88,高景气,上行,2021年全球缺芯、晶圆厂扩产与国产替代共振，公司半导体设备业务处于高景气上行通道。,"全球晶圆厂资本开支扩张，半导体设备需求高增, 集成电路国产替代加速，公司刻蚀设备份额提升, “十四五”政策与大基金持续支持半导体设备产业","海外设备巨头竞争加剧，技术迭代与客户验证风险, 下游晶圆厂资本开支波动可能影响订单持续性, 关键零部件供应与地缘政治限制带来供应链不确定性",success,24,全球缺芯推动晶圆厂扩产，中国大陆半导体制造产能加速建设，刻蚀、薄膜等核心设备需求旺盛；MOCVD受LED与Mini/Micro LED升级带动，需求亦具支撑。,20,高端半导体设备技术壁垒高，全球仍由海外巨头主导，但公司作为国内刻蚀设备龙头，在部分制程环节具备竞争力，国产替代空间大；同时面临国际巨头与国内同业竞争压力。,24,“十四五”规划强调集成电路自主可控，国家大基金、产业政策与税收优惠持续支持半导体设备国产化，外部科技限制进一步强化国内替代逻辑。,20,下游扩产与国产替代驱动收入高增长，刻蚀设备放量有望带来规模效应；但研发投入高、产品验证周期长，短期盈利能力提升节奏存在不确定性。
600703,2021,88,高景气,上行,三安光电在2021年受益于LED行业回暖与化合物半导体高景气，业务景气度处于高位，但需关注产能扩张与外部扰动。,"Mini/Micro LED放量, 化合物半导体（碳化硅/氮化镓）需求爆发, 国产替代加速","能耗双控限电影响生产, 原材料价格上涨, 行业产能扩张导致竞争加剧",success,24,LED行业需求回暖，Mini/Micro LED、车用LED、植物照明等新应用放量；化合物半导体在5G、新能源车、光伏等领域需求旺盛，全球缺芯背景下国产替代加速。,21,LED芯片行业经历出清后格局优化，龙头议价能力提升；但公司自身及行业产能扩张，化合物半导体领域竞争加剧，需关注供给释放节奏。,23,十四五规划重点支持半导体与第三代半导体，双碳目标拉动新能源相关芯片需求；但能耗双控与限电对生产形成阶段性扰动。,20,LED芯片价格回升带动毛利率改善，化合物半导体业务逐步放量，成长空间大；但扩产投入、原材料涨价及政府补助占比较高可能影响短期盈利弹性。
603259,2021,88,高景气,上行,在2021年时点，公司作为全球领先一体化CXO，受益于创新药研发外包高景气，未来1-2年业务景气度预期处于高景气且趋势上行。,"全球医药研发外包渗透率持续提升, 国内创新药崛起与药审改革、MAH制度红利, 一体化端到端平台与产能扩张带来的订单承接能力","全球医药研发投融资波动可能影响外包需求, 行业竞争加剧与产能扩张带来的价格和利用率压力, 地缘政治、跨境监管及汇率波动等外部不确定性",success,24,全球创新药研发投入增长与外包渗透率提升趋势明确，国内创新药产业扩张，公司一体化端到端研发生产服务需求旺盛，订单与产能利用率趋势向好。,21,行业产能扩张、竞争者增多，但公司作为一体化CXO龙头具备规模、平台与客户黏性优势，议价能力和市场份额相对稳固。,20,药审改革、鼓励创新和MAH制度等支持CXO发展，集采常态化压制仿制药但强化创新导向；需关注跨境监管与地缘政治扰动。,23,高附加值业务占比提升、规模效应显现、产能利用率较高，利润增长确定性强，未来1-2年成长空间较大。
600406,2021,87,高景气,上行,国电南瑞在双碳与新型电力系统建设主线中充分受益，需求、政策与竞争格局均优，2021年业务景气度处于高景气区间且趋势向上。,"新型电力系统建设与电网数字化投资, 双碳目标下新能源并网、储能与充换电需求, 公司在电网自动化领域的龙头地位与国网背景","电网投资节奏与专项债发行不及预期, 原材料及芯片涨价、限电限产对成本端扰动, 行业竞争加剧或项目回款周期拉长",success,22,双碳目标下新型电力系统建设提速，电网数字化、自动化、调度、配网及新能源并网需求旺盛，叠加储能、充换电、轨道交通与工业自动化需求，公司订单与收入增长确定性较强。,22,公司在电网自动化与调度领域处于龙头地位，背靠国家电网，技术、资质与客户壁垒高，行业格局集中，议价能力与市场份额稳固。,24,2030碳达峰、2060碳中和以及构建新型电力系统是“十四五”核心政策主线，电网投资、新能源消纳、储能、电动车充换电等均获强政策支持，外部环境高度有利。,19,业务结构向软件、数字化与系统集成倾斜，盈利质量较好；但2021年大宗商品与芯片涨价、限电限产对成本端形成一定压力，利润增速预期稳健但非爆发式。
